round_epochs,val_loss,val_quadruplet_metric,loss,quadruplet_metric,lr,epochs,batch_size,optimizer,embeddings,activation,neurons,decoderfactor
1,-0.375997477,0.89225,-0.372183414,0.8785,2.1,100,100,<class 'keras.optimizers.RMSprop'>,20,<function selu at 0x00000229C8B63EA0>,200,0
1,-0.415943539,0.90775,-0.410052286,0.88675,5.1,100,50,<class 'keras.optimizers.RMSprop'>,80,<function selu at 0x00000229C8B63EA0>,100,0
1,-0.444460414,0.915,-0.439210851,0.90225,0.1,100,100,<class 'keras.optimizers.RMSprop'>,20,<function elu at 0x00000229C8B63E18>,400,0
1,-0.466737463,0.92325,-0.460076279,0.91425,4.1,100,50,<class 'keras.optimizers.Nadam'>,20,<function relu at 0x00000229C8B740D0>,100,2
1,-0.392872178,0.92725,-0.385722575,0.9095,5.1,100,20,<class 'keras.optimizers.Nadam'>,80,<function relu at 0x00000229C8B740D0>,400,0
1,-0.453937933,0.916,-0.44409746,0.902,1.1,100,50,<class 'keras.optimizers.Nadam'>,40,<function selu at 0x00000229C8B63EA0>,200,0
1,-0.37255899,0.89225,-0.36793557,0.87925,4.1,100,20,<class 'keras.optimizers.RMSprop'>,40,<function elu at 0x00000229C8B63E18>,400,2
1,-0.439364247,0.92325,-0.432309731,0.90925,0.1,100,100,<class 'keras.optimizers.RMSprop'>,20,<function elu at 0x00000229C8B63E18>,200,0
1,-0.442536454,0.93275,-0.435853706,0.925,0.1,100,20,<class 'keras.optimizers.RMSprop'>,40,<function relu at 0x00000229C8B740D0>,300,1
1,-0.451781436,0.957,-0.442000082,0.94275,0.1,100,50,<class 'keras.optimizers.Adam'>,40,<function elu at 0x00000229C8B63E18>,300,2
1,-0.389024833,0.91125,-0.380280211,0.90175,7.1,100,20,<class 'keras.optimizers.RMSprop'>,20,<function relu at 0x00000229C8B740D0>,100,0
1,-0.443330511,0.91975,-0.435492795,0.90425,6.1,100,100,<class 'keras.optimizers.Nadam'>,20,<function elu at 0x00000229C8B63E18>,300,0
1,-0.43574176,0.89925,-0.43284035,0.8965,1.1,100,50,<class 'keras.optimizers.Nadam'>,20,<function selu at 0x00000229C8B63EA0>,300,0
1,-0.456206175,0.9025,-0.446755436,0.889,7.1,100,100,<class 'keras.optimizers.Adam'>,10,<function elu at 0x00000229C8B63E18>,300,1
1,-0.449745989,0.91875,-0.44290102,0.91275,3.1,100,100,<class 'keras.optimizers.Nadam'>,20,<function relu at 0x00000229C8B740D0>,200,1
1,-0.383735489,0.92975,-0.37684093,0.91375,3.1,100,20,<class 'keras.optimizers.RMSprop'>,20,<function elu at 0x00000229C8B63E18>,200,1
1,-0.441019435,0.90825,-0.433043553,0.89975,0.1,100,100,<class 'keras.optimizers.RMSprop'>,40,<function relu at 0x00000229C8B740D0>,100,1
1,-0.455661851,0.92975,-0.445128576,0.915,0.1,100,50,<class 'keras.optimizers.Nadam'>,80,<function relu at 0x00000229C8B740D0>,300,2
1,-0.451905085,0.92,-0.445528313,0.9125,6.1,100,100,<class 'keras.optimizers.RMSprop'>,20,<function relu at 0x00000229C8B740D0>,200,0
1,-0.444517058,0.91875,-0.439092351,0.912,4.1,100,20,<class 'keras.optimizers.Nadam'>,10,<function selu at 0x00000229C8B63EA0>,100,0
1,-0.436033007,0.918,-0.427538358,0.90625,4.1,100,100,<class 'keras.optimizers.RMSprop'>,40,<function elu at 0x00000229C8B63E18>,400,2
1,-0.444887017,0.91075,-0.437060819,0.90625,6.1,100,50,<class 'keras.optimizers.Nadam'>,80,<function elu at 0x00000229C8B63E18>,400,1
1,-0.44339995,0.92525,-0.439078587,0.90675,6.1,100,20,<class 'keras.optimizers.RMSprop'>,40,<function selu at 0x00000229C8B63EA0>,300,0
1,-0.373454175,0.93025,-0.36993068,0.92525,5.1,100,50,<class 'keras.optimizers.RMSprop'>,20,<function elu at 0x00000229C8B63E18>,400,0
1,-0.448015275,0.914,-0.442328582,0.90475,4.1,100,20,<class 'keras.optimizers.Nadam'>,40,<function elu at 0x00000229C8B63E18>,400,2
1,-0.406072546,0.9055,-0.398232995,0.88925,7.1,100,50,<class 'keras.optimizers.Nadam'>,10,<function relu at 0x00000229C8B740D0>,100,2
1,-0.381740386,0.901,-0.374648563,0.89225,4.1,100,50,<class 'keras.optimizers.Nadam'>,40,<function relu at 0x00000229C8B740D0>,400,0
1,-0.446443345,0.91375,-0.437998079,0.902,4.1,100,50,<class 'keras.optimizers.Adam'>,80,<function elu at 0x00000229C8B63E18>,300,0
1,-0.445659123,0.919,-0.43804707,0.909,0.1,100,50,<class 'keras.optimizers.Adam'>,80,<function selu at 0x00000229C8B63EA0>,300,1
1,-0.441969695,0.921,-0.433132431,0.90275,2.1,100,20,<class 'keras.optimizers.Adam'>,10,<function elu at 0x00000229C8B63E18>,400,0
1,-0.438292331,0.92025,-0.434903702,0.918,2.1,100,20,<class 'keras.optimizers.RMSprop'>,80,<function selu at 0x00000229C8B63EA0>,300,2
1,-0.371738152,0.909,-0.365736318,0.898,0.1,100,20,<class 'keras.optimizers.RMSprop'>,80,<function elu at 0x00000229C8B63E18>,100,2
1,-0.440800834,0.919,-0.432879153,0.91025,1.1,100,50,<class 'keras.optimizers.Nadam'>,40,<function selu at 0x00000229C8B63EA0>,100,2
1,-0.399237212,0.913,-0.399901042,0.90675,0.1,100,50,<class 'keras.optimizers.RMSprop'>,20,<function elu at 0x00000229C8B63E18>,400,0
1,-0.395921176,0.9295,-0.386222368,0.912,2.1,100,50,<class 'keras.optimizers.Nadam'>,20,<function selu at 0x00000229C8B63EA0>,200,0
1,-0.454564688,0.92725,-0.445713116,0.9115,3.1,100,100,<class 'keras.optimizers.Nadam'>,40,<function relu at 0x00000229C8B740D0>,300,1
1,-0.439071138,0.94925,-0.43107773,0.938,6.1,100,20,<class 'keras.optimizers.Adam'>,40,<function selu at 0x00000229C8B63EA0>,200,1
1,-0.460012299,0.9275,-0.452638704,0.91975,2.1,100,50,<class 'keras.optimizers.Adam'>,40,<function relu at 0x00000229C8B740D0>,400,0
1,-0.383181092,0.91,-0.375244156,0.89875,0.1,100,20,<class 'keras.optimizers.RMSprop'>,20,<function relu at 0x00000229C8B740D0>,300,0
1,-0.417519924,0.866,-0.40819619,0.857,7.1,100,100,<class 'keras.optimizers.Nadam'>,40,<function selu at 0x00000229C8B63EA0>,400,2
1,-0.404029492,0.97625,-0.395869417,0.9665,4.1,100,20,<class 'keras.optimizers.RMSprop'>,40,<function relu at 0x00000229C8B740D0>,400,1
1,-0.462499229,0.918,-0.454142905,0.90375,3.1,100,100,<class 'keras.optimizers.RMSprop'>,10,<function relu at 0x00000229C8B740D0>,400,1
1,-0.434839116,0.91425,-0.426408514,0.898,6.1,100,50,<class 'keras.optimizers.RMSprop'>,40,<function elu at 0x00000229C8B63E18>,300,0
1,-0.433577012,0.90975,-0.42850422,0.8995,7.1,100,20,<class 'keras.optimizers.Nadam'>,20,<function selu at 0x00000229C8B63EA0>,300,1
1,-0.399859251,0.931,-0.392537941,0.92125,5.1,100,50,<class 'keras.optimizers.RMSprop'>,20,<function relu at 0x00000229C8B740D0>,400,0
