round_epochs,val_loss,val_quadruplet_metric,loss,quadruplet_metric,lr,epochs,batch_size,optimizer,embeddings,activation,neurons,decoderfactor
1,-0.394780981,0.91675,-0.387328389,0.9065,2.1,100,50,<class 'keras.optimizers.RMSprop'>,20,<function relu at 0x00000229C8B740D0>,100,1
1,-0.438270239,0.92175,-0.430983461,0.91125,0.1,100,50,<class 'keras.optimizers.Adam'>,10,<function elu at 0x00000229C8B63E18>,200,1
1,-0.469290275,0.937,-0.460711291,0.92925,4.1,100,20,<class 'keras.optimizers.Adam'>,40,<function relu at 0x00000229C8B740D0>,400,2
1,-0.445184988,0.94375,-0.438251736,0.9365,0.1,100,50,<class 'keras.optimizers.RMSprop'>,20,<function selu at 0x00000229C8B63EA0>,300,2
1,-0.451430325,0.96625,-0.441856928,0.94675,2.1,100,20,<class 'keras.optimizers.Adam'>,20,<function selu at 0x00000229C8B63EA0>,300,0
1,-0.421500056,0.88525,-0.41256174,0.8695,0.1,100,100,<class 'keras.optimizers.Nadam'>,20,<function selu at 0x00000229C8B63EA0>,300,0
1,-0.455917916,0.91925,-0.448997846,0.916,5.1,100,20,<class 'keras.optimizers.Adam'>,20,<function relu at 0x00000229C8B740D0>,300,1
1,-0.436572251,0.95525,-0.427735369,0.94025,5.1,100,50,<class 'keras.optimizers.RMSprop'>,20,<function selu at 0x00000229C8B63EA0>,300,1
1,-0.389913892,0.925,-0.382567835,0.912,4.1,100,50,<class 'keras.optimizers.Nadam'>,10,<function relu at 0x00000229C8B740D0>,400,1
1,-0.432029046,0.89075,-0.429063842,0.89375,7.1,100,20,<class 'keras.optimizers.Nadam'>,40,<function selu at 0x00000229C8B63EA0>,400,1
1,-0.445627215,0.9185,-0.436777889,0.9,4.1,100,100,<class 'keras.optimizers.Adam'>,40,<function selu at 0x00000229C8B63EA0>,400,0
1,-0.437595568,0.905,-0.428077963,0.89825,7.1,100,20,<class 'keras.optimizers.Nadam'>,10,<function selu at 0x00000229C8B63EA0>,400,0
1,-0.453334293,0.8985,-0.445429399,0.88425,1.1,100,100,<class 'keras.optimizers.Adam'>,10,<function selu at 0x00000229C8B63EA0>,300,1
1,-0.449908215,0.9035,-0.440843254,0.8945,7.1,100,100,<class 'keras.optimizers.Nadam'>,10,<function relu at 0x00000229C8B740D0>,300,0
1,-0.445335378,0.93075,-0.43847506,0.9225,3.1,100,50,<class 'keras.optimizers.RMSprop'>,40,<function elu at 0x00000229C8B63E18>,300,1
1,-0.453131061,0.92825,-0.44560402,0.91575,2.1,100,20,<class 'keras.optimizers.Adam'>,20,<function relu at 0x00000229C8B740D0>,100,2
1,-0.379095562,0.9085,-0.371518755,0.895,4.1,100,50,<class 'keras.optimizers.Nadam'>,40,<function elu at 0x00000229C8B63E18>,400,2
1,-0.451924475,0.9325,-0.44253613,0.91725,4.1,100,100,<class 'keras.optimizers.RMSprop'>,10,<function relu at 0x00000229C8B740D0>,400,2
1,-0.445647444,0.90925,-0.438861944,0.90525,3.1,100,100,<class 'keras.optimizers.RMSprop'>,20,<function selu at 0x00000229C8B63EA0>,100,2
1,-0.435817894,0.90825,-0.428129918,0.902,6.1,100,100,<class 'keras.optimizers.Nadam'>,10,<function elu at 0x00000229C8B63E18>,200,2
1,-0.448478514,0.87875,-0.444479447,0.88275,1.1,100,100,<class 'keras.optimizers.RMSprop'>,10,<function elu at 0x00000229C8B63E18>,400,1
1,-0.46351907,0.9355,-0.45742559,0.92325,1.1,100,20,<class 'keras.optimizers.Nadam'>,10,<function elu at 0x00000229C8B63E18>,300,1
1,-0.449064002,0.915,-0.442332451,0.90575,1.1,100,100,<class 'keras.optimizers.RMSprop'>,10,<function relu at 0x00000229C8B740D0>,100,0
1,-0.441337426,0.94675,-0.434180378,0.92925,0.1,100,20,<class 'keras.optimizers.Adam'>,40,<function selu at 0x00000229C8B63EA0>,300,1
1,-0.434843588,0.9485,-0.424729733,0.934,2.1,100,50,<class 'keras.optimizers.RMSprop'>,20,<function selu at 0x00000229C8B63EA0>,300,0
1,-0.427349319,0.8835,-0.421750685,0.871,7.1,100,100,<class 'keras.optimizers.Adam'>,10,<function selu at 0x00000229C8B63EA0>,400,1
1,-0.435770404,0.902,-0.428062969,0.88225,1.1,100,100,<class 'keras.optimizers.Adam'>,20,<function selu at 0x00000229C8B63EA0>,400,1
1,-0.461899544,0.94225,-0.451635859,0.9255,7.1,100,100,<class 'keras.optimizers.RMSprop'>,20,<function relu at 0x00000229C8B740D0>,300,2
1,-0.455171995,0.92025,-0.446552508,0.91375,2.1,100,100,<class 'keras.optimizers.RMSprop'>,80,<function relu at 0x00000229C8B740D0>,300,2
1,-0.462034559,0.927,-0.454210155,0.913,1.1,100,20,<class 'keras.optimizers.Adam'>,40,<function relu at 0x00000229C8B740D0>,400,1
1,-0.446253024,0.89675,-0.439622545,0.88975,2.1,100,100,<class 'keras.optimizers.Nadam'>,40,<function selu at 0x00000229C8B63EA0>,300,0
1,-0.438974042,0.902,-0.432978754,0.89375,0.1,100,100,<class 'keras.optimizers.Adam'>,40,<function selu at 0x00000229C8B63EA0>,300,1
1,-0.451694475,0.9565,-0.443495866,0.941,1.1,100,50,<class 'keras.optimizers.Adam'>,20,<function selu at 0x00000229C8B63EA0>,200,0
