round_epochs,val_loss,val_quadruplet_metric,loss,quadruplet_metric,lr,epochs,batch_size,optimizer,embeddings,activation,neurons,decoderfactor,dropout
1,19.670422660827636,0.98575,20.619806442260742,0.97525,0.7100000000000001,150,20,<class 'keras.optimizers.Adam'>,40,<function relu at 0x0000017285A730D0>,400,1,0.2
1,19.96271590423584,0.988,20.643667587280273,0.983,0.6100000000000001,150,20,<class 'keras.optimizers.Adam'>,40,<function relu at 0x0000017285A730D0>,400,2,0
1,21.27162621307373,0.973,22.639925384521483,0.9585,0.7100000000000001,150,20,<class 'keras.optimizers.Adam'>,40,<function relu at 0x0000017285A730D0>,400,2,0.6
1,23.37984860229492,0.9015,24.98846728515625,0.8845,0.91,150,20,<class 'keras.optimizers.Adam'>,40,<function relu at 0x0000017285A730D0>,400,0,0.8
1,20.39202086639404,0.977,21.345222419738768,0.96725,0.51,150,20,<class 'keras.optimizers.Adam'>,40,<function relu at 0x0000017285A730D0>,400,1,0.2
1,23.817326736450195,0.906,25.56999430847168,0.887,0.7100000000000001,150,20,<class 'keras.optimizers.Adam'>,40,<function relu at 0x0000017285A730D0>,400,1,0.8
1,20.484924072265624,0.96575,22.13329608154297,0.946,0.11,150,20,<class 'keras.optimizers.Adam'>,40,<function relu at 0x0000017285A730D0>,400,1,0.6
1,20.36207039642334,0.98175,21.26899880218506,0.97375,0.91,150,20,<class 'keras.optimizers.Adam'>,40,<function relu at 0x0000017285A730D0>,400,1,0.2
1,20.191052467346193,0.975,21.454789222717285,0.9605,0.6100000000000001,150,20,<class 'keras.optimizers.Adam'>,40,<function relu at 0x0000017285A730D0>,400,0,0.4
1,20.55264643096924,0.985,21.426735717773436,0.97675,0.6100000000000001,150,20,<class 'keras.optimizers.Adam'>,40,<function relu at 0x0000017285A730D0>,400,1,0
1,20.165659004211427,0.983,20.784568161010743,0.97625,0.11,150,20,<class 'keras.optimizers.Adam'>,40,<function relu at 0x0000017285A730D0>,400,2,0
1,19.740964164733885,0.9795,20.821806686401366,0.96925,0.6100000000000001,150,20,<class 'keras.optimizers.Adam'>,40,<function relu at 0x0000017285A730D0>,400,1,0.4
1,20.023624267578125,0.976,21.300133750915528,0.9645,0.21000000000000002,150,20,<class 'keras.optimizers.Adam'>,40,<function relu at 0x0000017285A730D0>,400,2,0.4
1,20.076098861694337,0.97925,20.998860877990722,0.97075,0.51,150,20,<class 'keras.optimizers.Adam'>,40,<function relu at 0x0000017285A730D0>,400,2,0.2
1,19.630816886901854,0.98625,20.386352325439454,0.9775,0.81,150,20,<class 'keras.optimizers.Adam'>,40,<function relu at 0x0000017285A730D0>,400,2,0
1,23.827010375976563,0.895,25.760775802612304,0.88125,0.21000000000000002,150,20,<class 'keras.optimizers.Adam'>,40,<function relu at 0x0000017285A730D0>,400,2,0.8
1,20.17078470611572,0.97525,21.683065361022948,0.95975,0.01,150,20,<class 'keras.optimizers.Adam'>,40,<function relu at 0x0000017285A730D0>,400,2,0.6
1,20.63397270965576,0.979,21.72945315551758,0.96825,0.81,150,20,<class 'keras.optimizers.Adam'>,40,<function relu at 0x0000017285A730D0>,400,1,0.2
1,20.048673896789552,0.97775,21.20560136413574,0.96575,0.01,150,20,<class 'keras.optimizers.Adam'>,40,<function relu at 0x0000017285A730D0>,400,1,0.4
1,20.55079510498047,0.971,21.9879651184082,0.95425,0.51,150,20,<class 'keras.optimizers.Adam'>,40,<function relu at 0x0000017285A730D0>,400,0,0.6
1,20.386145843505858,0.985,21.20458850860596,0.976,0.41000000000000003,150,20,<class 'keras.optimizers.Adam'>,40,<function relu at 0x0000017285A730D0>,400,2,0
1,23.146961853027342,0.92175,25.107054397583006,0.90475,0.11,150,20,<class 'keras.optimizers.Adam'>,40,<function relu at 0x0000017285A730D0>,400,0,0.8
1,20.26338362121582,0.98125,21.24361095428467,0.9695,0.01,150,20,<class 'keras.optimizers.Adam'>,40,<function relu at 0x0000017285A730D0>,400,0,0.2
1,21.03674878692627,0.97175,22.170025482177735,0.9605,0.7100000000000001,150,20,<class 'keras.optimizers.Adam'>,40,<function relu at 0x0000017285A730D0>,400,1,0.4
1,20.488230613708495,0.98525,21.150915100097656,0.98025,0.91,150,20,<class 'keras.optimizers.Adam'>,40,<function relu at 0x0000017285A730D0>,400,2,0
1,20.151189041137695,0.9835,21.014722717285157,0.97525,0.41000000000000003,150,20,<class 'keras.optimizers.Adam'>,40,<function relu at 0x0000017285A730D0>,400,0,0
1,20.800119354248046,0.978,21.849841979980468,0.96575,0.91,150,20,<class 'keras.optimizers.Adam'>,40,<function relu at 0x0000017285A730D0>,400,0,0.2
1,20.3409845123291,0.9885,21.08247829437256,0.98025,0.81,150,20,<class 'keras.optimizers.Adam'>,40,<function relu at 0x0000017285A730D0>,400,0,0
1,20.082997337341308,0.98375,20.811708213806153,0.976,0.21000000000000002,150,20,<class 'keras.optimizers.Adam'>,40,<function relu at 0x0000017285A730D0>,400,0,0
1,20.58997486114502,0.98,21.720835494995118,0.96625,0.41000000000000003,150,20,<class 'keras.optimizers.Adam'>,40,<function relu at 0x0000017285A730D0>,400,2,0.4
1,21.340880226135255,0.96775,22.646671218872072,0.95075,0.91,150,20,<class 'keras.optimizers.Adam'>,40,<function relu at 0x0000017285A730D0>,400,2,0.6
1,22.56516739654541,0.913,24.241257308959963,0.8975,0.91,150,20,<class 'keras.optimizers.Adam'>,40,<function relu at 0x0000017285A730D0>,400,2,0.8
1,20.544454879760742,0.977,21.781785209655762,0.96275,0.31000000000000005,150,20,<class 'keras.optimizers.Adam'>,40,<function relu at 0x0000017285A730D0>,400,1,0.4
1,20.28243226623535,0.98025,20.91317778778076,0.975,0.81,150,20,<class 'keras.optimizers.Adam'>,40,<function relu at 0x0000017285A730D0>,400,1,0
1,23.726808403015138,0.91425,25.71119970703125,0.89,0.91,150,20,<class 'keras.optimizers.Adam'>,40,<function relu at 0x0000017285A730D0>,400,1,0.8
1,20.40086247253418,0.98075,21.266669578552246,0.97025,0.7100000000000001,150,20,<class 'keras.optimizers.Adam'>,40,<function relu at 0x0000017285A730D0>,400,1,0
1,23.725930892944337,0.902,25.612292922973634,0.8855,0.41000000000000003,150,20,<class 'keras.optimizers.Adam'>,40,<function relu at 0x0000017285A730D0>,400,1,0.8
1,20.659124473571776,0.972,22.111244987487794,0.9545,0.51,150,20,<class 'keras.optimizers.Adam'>,40,<function relu at 0x0000017285A730D0>,400,2,0.6
